##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
##CELL PARAMETERS=a: 8.1297(1) b: 8.1297(1) c: 8.1297(1) alpha: 90 beta: 90 gamma: 90 volume: 537.31(2) crystal system: cubic
10.24000, 18.97506
10.25000, 27.99353
10.26000, 6.012009
10.27000, 9.030479
10.28000, 14.86793
10.29000, 9.886406
10.30000, 31.90488
10.31000, 2.923378
10.32000, 13.94187
10.33000, 6.960358
10.34000, 23.97885
10.35000, 19.99734
10.36000, 15.89993
10.37000, 12.91843
10.38000, 4.936935
10.39000, 22.95544
10.40000, 14.97395
10.41000, 19.99246
10.42000, 27.01099
10.43000, 18.02951
10.44000, 20.04803
10.45000, 38.01425
10.46000, 34.03281
10.47000, 24.56365
10.48000, 7.582184
10.49000, 1.600693
10.50000, 12.62045
10.51000, 13.64018
10.52000, 20.65989
10.53000, 3.679573
10.54000, 39.63933
10.55000, 15.65895
10.56000, 11.67857
10.57000, 27.69817
10.58000, 2.774368
10.59000, 20.79393
10.60000, 13.81345
10.61000, 8.167038
10.62000, 14.42354
10.63000, 27.43836
10.64000, 17.45312
10.65000, 8.467834
10.66000, 12.48247
10.67000, 23.49706
10.68000, 10.51157
10.69000, 5.473984
10.70000, 14.62302
10.71000, 24.63400
10.72000, 30.64492
10.73000, 19.65577
10.74000, 21.66655
10.75000, 20.67725
10.76000, 28.68789
10.77000, 19.70004
10.78000, 20.71214
10.79000, 17.72415
10.80000, 27.73609
10.81000, 4.747955
10.82000, 0.2402500
10.83000, 25.36057
10.84000, 16.37157
10.85000, 13.38246
10.86000, 13.39323
10.87000, 19.40604
10.88000, 10.41872
10.89000, 4.431305
10.90000, 6.443771
10.91000, 27.45612
10.92000, 16.46835
10.93000, 30.48048
10.94000, 14.49248
10.95000, 12.50438
10.96000, 17.51614
10.97000, 19.52779
10.98000, 29.28635
10.99000, 24.29777
11.00000, 5.309090
11.01000, 8.320305
11.02000, 3.331421
11.03000, 23.34242
11.04000, 19.35333
11.05000, 7.364136
11.06000, 22.37105
11.07000, 18.38164
11.08000, 16.39214
11.09000, 29.40253
11.10000, 15.41281
11.11000, 30.42300
11.12000, 20.43307
11.13000, 6.495277
11.14000, 27.51282
11.15000, 5.520798
11.16000, 8.528671
11.17000, 11.50556
11.18000, 24.51465
11.19000, 29.52362
11.20000, 18.53305
11.21000, 24.54237
