##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb^2+^_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
##CELL PARAMETERS=a: 10.4424(8) b: 10.4424(8) c: 10.4424(8) alpha: 90 beta: 90 gamma: 90 volume: 1138.7(3) crystal system: cubic
11.89000, 1.360418
11.90000, 2.642900
11.91000, 0.6462110
11.92000, 5.647888
11.93000, 0.3504080
11.94000, 5.659703
11.95000, 3.662766
11.96000, 4.664323
11.97000, 5.667369
11.98000, 2.739387
11.99000, 2.742831
12.00000, 0.7462630
12.01000, 0.7496830
12.02000, 4.753090
12.03000, 2.756485
12.04000, 3.890968
12.05000, 2.894479
12.06000, 3.897970
12.07000, 2.098557
12.08000, 1.903696
12.09000, 4.905931
12.10000, 2.908147
12.11000, 3.909288
12.12000, 3.921180
12.13000, 10.92334
12.14000, 1.925486
12.15000, 5.927612
12.16000, 2.929721
12.17000, 2.931818
12.18000, 3.933044
12.19000, 1.935107
12.20000, 2.937152
12.21000, 1.939182
12.22000, 2.941194
12.23000, 3.943194
12.24000, 8.945177
12.25000, 4.947146
12.26000, 1.949102
12.27000, 2.951140
12.28000, 4.6836998E-02
12.29000, 15.95505
12.30000, 2.915881
12.31000, 4.917234
12.32000, 1.080920
12.33000, 4.920257
12.34000, 3.921422
12.35000, 1.922575
12.36000, 5.923717
12.37000, 5.924847
12.38000, 6.925964
12.39000, 3.926809
12.40000, 3.927906
12.41000, 1.070684
12.42000, 4.942235
12.43000, 1.943037
12.44000, 0.9557030
12.45000, 4.956537
12.46000, 1.957359
12.47000, 9.958168
12.48000, 5.959018
12.49000, 0.9598570
12.50000, 2.960684
12.51000, 7.972574
12.52000, 8.973381
12.53000, 4.974176
12.54000, 6.974959
12.55000, 3.986343
12.56000, 9.987104
12.57000, 4.987856
12.58000, 1.988775
12.59000, 1.998522
12.60000, 3.999420
12.61000, 3.000309
12.62000, 1.001188
12.63000, 5.002057
12.64000, 5.002915
12.65000, 3.003765
12.66000, 4.004604
12.67000, 6.005435
12.68000, 5.006257
12.69000, 2.007066
12.70000, 4.007867
12.71000, 3.008657
12.72000, 7.009643
12.73000, 4.010619
12.74000, 2.011581
12.75000, 5.012533
12.76000, 2.985407
12.77000, 3.986757
12.78000, 1.988098
12.79000, 7.989427
12.80000, 6.991045
12.81000, 0.9930690
12.82000, 4.9149999E-03
12.83000, 4.997005
12.84000, 0.9990040
12.85000, 7.000903
12.86000, 1.002794
12.87000, 9.004675
12.88000, 2.006573
12.89000, 3.008748
12.90000, 6.010913
12.91000, 5.013068
12.92000, 1.015213
12.93000, 4.017351
12.94000, 1.019479
12.95000, 3.021599
12.96000, 3.023710
12.97000, 4.998013
12.98000, 10.00013
12.99000, 3.002633
13.00000, 9.005131
13.01000, 2.061648
13.02000, 5.974720
13.03000, 7.977196
13.04000, 1.979667
13.05000, 4.035507
13.06000, 6.037965
13.07000, 5.040414
13.08000, 2.042856
13.09000, 2.957426
