##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
##CELL PARAMETERS=a: 4.7165(9) b: 10.3827(8) c: 6.0468(8) alpha: 90. beta: 90. gamma: 90. volume: 296.11(4) crystal system: orthorhombic
11.840, 1.067
11.850, 24.057
11.860, 16.210
11.870, 3.201
11.880, 10.191
11.890, 2.183
11.900, 8.173
11.910, 7.164
11.920, 0.156
11.930, 2.853
11.940, 22.139
11.950, 20.371
11.960, 5.364
11.970, 5.355
11.980, 0.348
11.990, 17.340
12.000, 9.638
12.010, 2.420
12.020, 7.620
12.030, 0.389
12.040, 5.618
12.050, 8.608
12.060, 3.599
12.070, 2.590
12.080, 12.581
12.090, 21.573
12.100, 16.564
12.110, 1.444
12.120, 15.547
12.130, 10.539
12.140, 5.530
12.150, 5.522
12.160, 18.513
12.170, 12.505
12.180, 2.698
12.190, 2.292
12.200, 4.283
12.210, 14.272
12.220, 5.263
12.230, 18.253
12.240, 11.244
12.250, 2.765
12.260, 22.224
12.270, 1.213
12.280, 9.202
12.290, 18.192
12.300, 17.182
12.310, 12.498
12.320, 9.488
12.330, 11.478
12.340, 14.468
12.350, 6.161
12.360, 5.154
12.370, 21.146
12.380, 12.139
12.390, 24.133
12.400, 9.127
12.410, 21.122
12.420, 28.115
12.430, 0.193
12.440, 22.188
12.450, 18.184
12.460, 7.178
12.470, 8.174
12.480, 18.169
12.490, 17.165
12.500, 16.983
12.510, 0.979
12.520, 16.976
12.530, 21.148
12.540, 8.145
12.550, 16.141
12.560, 14.138
12.570, 8.338
12.580, 26.334
12.590, 24.332
12.600, 12.289
12.610, 13.287
12.620, 6.957
12.630, 13.280
12.640, 28.273
12.650, 9.269
12.660, 14.264
12.670, 26.260
12.680, 14.417
12.690, 3.413
12.700, 16.515
12.710, 18.511
12.720, 23.508
12.730, 0.581
12.740, 5.609
12.750, 2.396
12.760, 11.599
12.770, 22.594
12.780, 9.589
12.790, 13.584
12.800, 12.580
12.810, 17.575
12.820, 11.284
12.830, 23.279
12.840, 15.276
12.850, 14.273
12.860, 9.437
12.870, 4.434
12.880, 25.431
12.890, 13.428
12.900, 2.486
12.910, 25.121
12.920, 14.118
12.930, 11.115
12.940, 26.112
12.950, 15.108
12.960, 18.106
12.970, 9.103
12.980, 13.228
12.990, 13.225
13.000, 0.605
13.010, 4.218
13.020, 12.213
13.030, 11.209
13.040, 2.205
13.050, 0.550
13.060, 20.195
13.070, 16.190
13.080, 16.185
13.090, 22.179
13.100, 7.174
13.110, 7.250
13.120, 9.245
13.130, 4.220
13.140, 1.494
13.150, 13.209
13.160, 17.201
13.170, 4.194
13.180, 5.187
13.190, 2.557
13.200, 18.169
13.210, 31.964
13.220, 5.956
13.230, 0.076
13.240, 14.916
13.250, 6.906
13.260, 28.898
13.270, 3.890
13.280, 1.034
13.290, 8.026
13.300, 20.051
