##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
##CELL PARAMETERS=a: 13.8704(3) b: 13.8704(3) c: 13.8704(3) alpha: 90 beta: 90 gamma: 90 volume: 2668.5(0) crystal system: cubic
11.96000, 11.28040
11.97000, 0.7090840
11.98000, 11.34704
11.99000, 1.357496
12.00000, 17.36807
12.01000, 6.378773
12.02000, 12.38960
12.03000, 3.400539
12.04000, 20.41161
12.05000, 3.577208
12.06000, 4.432283
12.07000, 8.442120
12.08000, 4.621426
12.09000, 0.3685210
12.10000, 3.641531
12.11000, 6.651691
12.12000, 2.338047
12.13000, 5.671104
12.14000, 2.681141
12.15000, 0.3087160
12.16000, 8.701946
12.17000, 15.71272
12.18000, 5.724110
12.19000, 1.104401
12.20000, 8.906578
12.21000, 6.140694
12.22000, 6.151951
12.23000, 25.16329
12.24000, 4.174706
12.25000, 18.18620
12.26000, 15.19777
12.27000, 18.20942
12.28000, 1.221142
12.29000, 5.232946
12.30000, 10.24482
12.31000, 0.5347190
12.32000, 6.546730
12.33000, 4.558798
12.34000, 11.57092
12.35000, 5.583107
12.36000, 1.404654
12.37000, 22.60673
12.38000, 8.618158
12.39000, 1.370354
12.40000, 11.64028
12.41000, 11.65237
12.42000, 12.66513
12.43000, 5.677929
12.44000, 6.690781
12.45000, 8.703678
12.46000, 7.716627
12.47000, 11.72962
12.48000, 14.74266
12.49000, 8.755753
12.50000, 7.899979
12.51000, 7.043631
12.52000, 20.05683
12.53000, 10.07005
12.54000, 7.083298
12.55000, 2.096563
12.56000, 8.109848
12.57000, 8.123154
12.58000, 7.136471
12.59000, 6.152531
12.60000, 9.165882
12.61000, 23.17925
12.62000, 6.192633
12.63000, 17.20603
12.64000, 11.21944
12.65000, 21.23286
12.66000, 8.368263
12.67000, 5.381699
12.68000, 15.39513
12.69000, 12.37818
12.70000, 16.39161
12.71000, 9.405634
12.72000, 16.41966
12.73000, 20.43368
12.74000, 13.44773
12.75000, 27.46177
12.76000, 30.47581
12.77000, 44.49012
12.78000, 32.50443
12.79000, 58.51872
12.80000, 44.53302
12.81000, 32.54733
12.82000, 42.56162
12.83000, 38.57591
12.84000, 25.18990
12.85000, 16.37490
12.86000, 12.38999
12.87000, 7.405075
12.88000, 21.42018
12.89000, 24.43529
12.90000, 8.450405
12.91000, 12.46630
12.92000, 9.482216
12.93000, 10.49814
12.94000, 0.5140610
12.95000, 11.52994
12.96000, 12.54589
12.97000, 12.34185
12.98000, 16.35781
12.99000, 13.37378
13.00000, 7.389759
13.01000, 6.405746
13.02000, 18.42174
13.03000, 6.437803
13.04000, 5.453863
13.05000, 6.470091
13.06000, 10.48632
13.07000, 12.50254
13.08000, 6.518759
13.09000, 10.44466
13.10000, 2.460890
13.11000, 18.47712
13.12000, 6.493351
13.13000, 12.50959
13.14000, 7.525822
13.15000, 3.542690
13.16000, 7.559559
13.17000, 0.4534110
13.18000, 9.563000
13.19000, 11.57941
13.20000, 10.59582
13.21000, 1.612226
13.22000, 11.62863
13.23000, 14.64513
13.24000, 20.66162
13.25000, 10.47107
13.26000, 5.487560
13.27000, 2.495943
13.28000, 6.519070
13.29000, 11.53246
13.30000, 11.54747
13.31000, 6.562494
13.32000, 5.442177
13.33000, 11.45721
13.34000, 7.472246
13.35000, 12.60946
13.36000, 7.624504
13.37000, 9.639549
13.38000, 2.344822
13.39000, 12.60571
13.40000, 3.380079
13.41000, 5.648613
13.42000, 13.66088
13.43000, 13.67314
13.44000, 13.68539
13.45000, 1.697649
13.46000, 10.70989
13.47000, 10.72214
13.48000, 2.734367
13.49000, 11.74660
13.50000, 4.241182
13.51000, 9.768629
13.52000, 12.77843
13.53000, 6.788229
13.54000, 8.798019
13.55000, 25.80781
13.56000, 10.71756
13.57000, 4.727356
13.58000, 6.737152
13.59000, 13.64864
13.60000, 12.98504
13.61000, 17.13253
13.62000, 12.14230
13.63000, 3.152050
13.64000, 21.16183
13.65000, 10.17159
13.66000, 2.181326
13.67000, 16.19104
13.68000, 2.200731
13.69000, 1.789602
13.70000, 1.781130
13.71000, 9.226154
13.72000, 13.23341
13.73000, 4.240648
13.74000, 13.24786
13.75000, 12.25505
13.76000, 12.26221
13.77000, 21.26936
13.78000, 0.2764800
13.79000, 3.283503
13.80000, 20.29050
13.81000, 9.297743
13.82000, 2.304962
13.83000, 13.31216
13.84000, 9.319336
13.85000, 1.673510
