##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
##CELL PARAMETERS=a: 6.9500(3) b: 8.6352(7) c: 5.7641(6) alpha: 90. beta: 104.883(6) gamma: 90. volume: 334.33(4) crystal system: monoclinic
12.950, 3.375
12.960, 7.374
12.970, 4.374
12.980, 6.375
12.990, 2.376
13.000, 5.376
13.010, 6.377
13.020, 5.379
13.030, 7.380
13.040, 10.381
13.050, 12.382
13.060, 12.384
13.070, 12.385
13.080, 15.386
13.090, 17.388
13.100, 21.390
13.110, 26.392
13.120, 28.393
13.130, 37.395
13.140, 39.397
13.150, 57.399
13.160, 67.401
13.170, 74.403
13.180, 96.405
13.190, 95.408
13.200, 124.388
13.210, 168.392
13.220, 166.395
13.230, 196.397
13.240, 178.400
13.250, 186.402
13.260, 184.405
13.270, 141.408
13.280, 126.411
13.290, 78.475
13.300, 72.327
13.310, 43.305
13.320, 30.308
13.330, 36.311
13.340, 29.438
13.350, 17.441
13.360, 12.445
13.370, 10.449
13.380, 7.453
13.390, 10.456
13.400, 13.460
13.410, 9.463
13.420, 19.467
13.430, 12.471
13.440, 5.475
13.450, 5.478
13.460, 13.482
13.470, 8.487
13.480, 7.491
13.490, 7.495
13.500, 8.500
13.510, 8.505
13.520, 11.693
13.530, 8.697
13.540, 6.759
13.550, 4.764
13.560, 5.768
13.570, 2.228
13.580, 0.225
13.590, 11.778
13.600, 1.782
13.610, 3.785
13.620, 1.789
13.630, 8.793
13.640, 5.796
13.650, 5.799
13.660, 2.804
13.670, 3.807
13.680, 4.810
13.690, 4.813
13.700, 5.816
13.710, 4.820
13.720, 5.825
13.730, 4.828
13.740, 9.833
13.750, 0.193
13.760, 10.811
13.770, 5.814
13.780, 10.817
13.790, 3.820
13.800, 1.177
13.810, 2.826
13.820, 0.828
13.830, 4.831
13.840, 2.833
13.850, 0.836
13.860, 10.839
13.870, 6.841
13.880, 1.184
13.890, 1.818
13.900, 9.820
13.910, 9.827
13.920, 2.834
13.930, 3.836
13.940, 0.838
13.950, 1.841
13.960, 7.816
13.970, 3.818
13.980, 2.821
13.990, 1.823
14.000, 2.826
14.010, 3.829
14.020, 3.832
14.030, 2.835
14.040, 5.838
14.050, 4.842
14.060, 4.848
14.070, 5.851
14.080, 0.240
14.090, 6.827
14.100, 1.830
14.110, 2.834
14.120, 0.163
14.130, 4.840
14.140, 0.156
14.150, 2.847
14.160, 1.851
14.170, 3.977
14.180, 0.981
14.190, 6.984
14.200, 9.988
14.210, 1.992
14.220, 7.996
14.230, 2.000
14.240, 6.003
14.250, 3.007
14.260, 2.011
14.270, 7.015
14.280, 3.018
14.290, 3.082
14.300, 1.085
14.310, 5.089
14.320, 2.093
14.330, 8.097
14.340, 8.101
14.350, 11.105
14.360, 3.109
14.370, 8.112
14.380, 6.116
14.390, 3.120
14.400, 0.124
14.410, 7.128
14.420, 8.131
14.430, 10.135
14.440, 3.139
14.450, 6.142
14.460, 2.146
14.470, 4.150
14.480, 0.843
14.490, 9.160
14.500, 1.164
14.510, 3.168
14.520, 5.172
14.530, 1.824
14.540, 4.180
14.550, 0.183
14.560, 2.187
14.570, 0.190
14.580, 3.194
14.590, 6.198
14.600, 6.202
14.610, 4.207
14.620, 0.211
14.630, 5.215
14.640, 2.219
14.650, 5.223
14.660, 1.228
14.670, 5.232
14.680, 7.236
14.690, 0.240
14.700, 8.244
14.710, 2.752
14.720, 5.251
14.730, 0.746
14.740, 2.256
14.750, 3.258
14.760, 1.260
14.770, 3.121
14.780, 4.108
14.790, 5.109
