##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
##CELL PARAMETERS=a: 8.891(1) b: 5.6995(3) c: 10.228(2) alpha: 90 beta: 114.99(1) gamma: 90 volume: 469.72(9) crystal system: monoclinic
12.95000, 15.54758
12.96000, 4.553604
12.97000, 7.554091
12.98000, 6.560106
12.99000, 6.566122
13.00000, 17.57214
13.01000, 3.579135
13.02000, 4.586132
13.03000, 14.59313
13.04000, 2.600130
13.05000, 8.607129
13.06000, 4.614130
13.07000, 9.621126
13.08000, 6.628120
13.09000, 4.635113
13.10000, 9.642103
13.11000, 8.649084
13.12000, 1.343935
13.13000, 8.662269
13.14000, 9.668470
13.15000, 5.674666
13.16000, 3.680858
13.17000, 6.687042
13.18000, 5.735720
13.19000, 7.741890
13.20000, 9.748049
13.21000, 1.754200
13.22000, 8.760342
13.23000, 7.766470
13.24000, 4.772591
13.25000, 1.778703
13.26000, 0.2151970
13.27000, 1.209297
13.28000, 3.745579
13.29000, 6.750748
13.30000, 0.2430440
13.31000, 13.76308
13.32000, 6.769196
13.33000, 5.775303
13.34000, 3.781404
13.35000, 6.787495
13.36000, 12.79358
13.37000, 4.799652
13.38000, 1.805717
13.39000, 1.811782
13.40000, 7.817840
13.41000, 8.775132
13.42000, 7.781181
13.43000, 8.786556
13.44000, 9.792604
13.45000, 2.798654
13.46000, 16.80470
13.47000, 0.8107520
13.48000, 8.816799
13.49000, 7.822845
13.50000, 4.828892
13.51000, 0.1650640
13.52000, 1.840824
13.53000, 5.882319
13.54000, 4.111799
13.55000, 2.107698
13.56000, 11.89522
13.57000, 12.00551
13.58000, 8.115696
13.59000, 13.11858
13.60000, 9.121440
13.61000, 12.12429
13.62000, 8.098784
13.63000, 8.101598
13.64000, 6.105289
13.65000, 5.108074
13.66000, 12.08381
13.67000, 4.086569
13.68000, 5.089320
13.69000, 17.09207
13.70000, 15.09480
13.71000, 3.097528
13.72000, 4.100247
13.73000, 1.103814
