##NAMES=Cyanotrichite
##RRUFFID=R070500
##IDEAL CHEMISTRY=Cu^2+^_4_Al_2_S^6+^O_4_(OH)_12_&#183;2H_2_O
##LOCALITY=Vieja mine, Portrerillos, Chanaral Province, Atacama Region, Chile
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Radial aggregates of sky-blue fibers associated with green brochantite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070500
17.60000, 40.41691
17.63000, 35.76313
17.66000, 30.92068
17.69000, 24.42237
17.72000, 20.63437
17.75000, 17.30495
17.78000, 12.81324
17.81000, 10.64994
17.84000, 10.16815
17.87000, 8.664364
17.90000, 9.780590
17.93000, 11.81432
17.96000, 11.45712
17.99000, 9.650307
18.02000, 11.57098
18.05000, 10.01160
18.08000, 8.672306
18.11000, 8.866489
18.14000, 5.564610
18.17000, 5.020973
18.20000, 4.614986
18.23000, 5.615070
18.26000, 6.269180
18.29000, 5.177723
18.32000, 3.985092
18.35000, 6.465092
18.38000, 6.120903
18.41000, 5.095642
18.44000, 6.409924
18.47000, 5.525154
18.50000, 6.568287
18.53000, 7.627808
18.56000, 5.707684
18.59000, 6.409615
18.62000, 7.976379
18.65000, 7.255116
18.68000, 8.501659
18.71000, 8.261021
18.74000, 9.274456
18.77000, 10.73898
18.80000, 10.07730
18.83000, 10.84282
18.86000, 9.877945
18.89000, 6.729767
18.92000, 5.757549
18.95000, 5.649185
18.98000, 6.677879
19.01000, 8.171341
19.04000, 9.486927
19.07000, 8.729858
19.10000, 7.551960
19.13000, 7.253521
19.16000, 5.979919
19.19000, 7.548328
19.22000, 8.905308
19.25000, 7.943443
19.28000, 6.752556
19.31000, 4.758221
19.34000, 3.293640
19.37000, 2.392929
19.40000, 2.392784
19.43000, 1.782486
19.46000, 0.6021800
19.49000, 0.2361150
19.52000, 0.2161370
19.55000, 5.3904999E-02
19.58000, 8.1688002E-02
19.61000, 1.4381000E-02
19.64000, 0.6299440
19.67000, 0.1970900
19.70000, 0.7631720
19.73000, 0.3971290
19.76000, 1.727276
19.79000, 2.332279
19.82000, 1.357250
19.85000, 2.064816
19.88000, 2.555180
19.91000, 1.338177
19.94000, 0.5536160
19.97000, 0.1094510
20.00000, 0.8056300
20.03000, 1.676922
20.06000, 1.727448
20.09000, 1.240803
20.12000, 1.170132
20.15000, 0.4611970
20.18000, 1.245987
20.21000, 2.257900
20.24000, 1.739983
20.27000, 2.251381
20.30000, 3.032555
20.33000, 1.802250
20.36000, 0.3292880
20.39000, 0.1371000
20.42000, 0.6996650
20.45000, 2.575504
20.48000, 4.255737
20.51000, 5.625729
20.54000, 7.174770
20.57000, 8.017067
20.60000, 8.890415
20.63000, 8.973316
20.66000, 10.17027
20.69000, 10.58567
20.72000, 9.825024
20.75000, 8.873734
20.78000, 8.770287
20.81000, 7.090092
20.84000, 5.504055
20.87000, 4.725426
20.90000, 3.869907
20.93000, 3.282627
20.96000, 3.439327
20.99000, 2.451874
21.02000, 3.007282
21.05000, 2.835670
21.08000, 0.3584290
21.11000, 0.6230620
21.14000, 0.6745570
21.17000, 1.929310
21.20000, 4.198334
21.23000, 4.824177
21.26000, 6.019501
21.29000, 7.019718
21.32000, 6.258553
21.35000, 6.401558
21.38000, 6.600410
21.41000, 7.212559
21.44000, 10.27664
21.47000, 13.95466
21.50000, 16.65860
21.53000, 18.84108
21.56000, 19.60009
21.59000, 18.91311
21.62000, 18.21323
21.65000, 19.97204
21.68000, 24.60986
21.71000, 28.49815
21.74000, 29.20307
21.77000, 27.90574
21.80000, 26.77843
21.83000, 28.35034
21.86000, 32.96964
21.89000, 35.31103
21.92000, 41.03963
21.95000, 51.40650
21.98000, 60.77271
22.01000, 65.31532
22.04000, 68.59295
22.07000, 71.57638
22.10000, 72.38136
22.13000, 72.02042
22.16000, 70.41074
22.19000, 64.89899
22.22000, 56.55986
22.25000, 49.92317
22.28000, 41.60123
22.31000, 32.42990
22.34000, 26.30569
22.37000, 22.99458
22.40000, 17.86893
22.43000, 15.07367
22.46000, 14.37658
22.49000, 11.76152
22.52000, 9.065083
22.55000, 9.736984
22.58000, 8.482029
22.61000, 7.251980
22.64000, 8.697571
22.67000, 5.730507
22.70000, 5.400890
22.73000, 5.974857
22.76000, 6.719536
22.79000, 7.119923
22.82000, 5.535877
22.85000, 3.572548
22.88000, 3.982323
22.91000, 3.905926
22.94000, 3.335781
22.97000, 4.490425
23.00000, 5.071400
23.03000, 4.611469
23.06000, 5.251743
23.09000, 4.876610
23.12000, 5.170677
23.15000, 5.725845
23.18000, 5.927780
23.21000, 6.396873
23.24000, 8.597435
23.27000, 9.408257
23.30000, 9.573734
23.33000, 10.34233
23.36000, 9.783127
23.39000, 9.771786
23.42000, 9.257141
23.45000, 7.502293
23.48000, 5.010811
23.51000, 2.891312
23.54000, 3.427834
23.57000, 4.025620
23.60000, 4.109772
23.63000, 4.276894
23.66000, 3.190273
23.69000, 2.269520
23.72000, 1.054382
23.75000, 1.168278
23.78000, 2.031296
23.81000, 2.481384
23.84000, 3.662163
23.87000, 4.175911
23.90000, 4.049667
23.93000, 5.261177
23.96000, 6.258110
23.99000, 5.330509
24.02000, 4.867485
24.05000, 5.519562
24.08000, 5.999935
24.11000, 5.121433
24.14000, 5.616058
24.17000, 5.808640
24.20000, 5.715427
24.23000, 4.481560
24.26000, 4.719711
24.29000, 4.367405
24.32000, 3.990517
24.35000, 4.434761
24.38000, 3.364815
24.41000, 3.795261
24.44000, 1.898136
24.47000, 1.177628
24.50000, 2.764973
24.53000, 3.340134
24.56000, 2.429947
24.59000, 1.321949
24.62000, 1.170063
24.65000, 0.7090380
24.68000, 0.6096340
24.71000, 0.6109770
24.74000, 0.2553250
24.77000, 0.6900670
24.80000, 1.5049000E-02
24.83000, 0.5058670
24.86000, 1.776642
24.89000, 2.700047
24.92000, 1.893604
24.95000, 1.112202
24.98000, 0.7724080
25.01000, 0.9077110
25.04000, 0.7361220
25.07000, 1.007332
25.10000, 1.325752
25.13000, 1.054214
25.16000, 1.381794
25.19000, 1.403313
25.22000, 2.096172
25.25000, 1.822800
25.28000, 1.495281
25.31000, 2.440426
25.34000, 1.803955
25.37000, 0.6483540
25.40000, 2.265778
25.43000, 2.383900
25.46000, 1.763924
25.49000, 2.283630
25.52000, 2.699337
25.55000, 1.298271
25.58000, 0.9124740
25.61000, 0.3427620
25.64000, 2.041071
25.67000, 1.268150
25.70000, 0.3752820
25.73000, 1.173895
25.76000, 1.873508
25.79000, 1.751778
25.82000, 1.379498
25.85000, 7.9581998E-02
25.88000, 0.3468590
25.91000, 0.9804130
25.94000, 0.2520070
25.97000, 0.1476570
26.00000, 8.6480998E-02
26.03000, 0.6776810
26.06000, 1.969707
26.09000, 2.943649
26.12000, 2.684160
26.15000, 1.900339
26.18000, 1.656385
26.21000, 1.111786
26.24000, 0.4720250
26.27000, 0.4946820
26.30000, 0.5910780
26.33000, 0.4597630
26.36000, 1.094091
26.39000, 1.234375
26.42000, 0.8150160
26.45000, 2.269039
26.48000, 3.763212
26.51000, 2.521294
26.54000, 2.047045
26.57000, 2.427235
26.60000, 1.899050
26.63000, 2.390821
26.66000, 3.477722
26.69000, 4.067575
26.72000, 3.723377
26.75000, 4.046646
26.78000, 3.911098
26.81000, 3.905418
26.84000, 4.469481
26.87000, 4.597261
26.90000, 4.663475
26.93000, 5.036964
26.96000, 4.930376
26.99000, 5.934191
27.02000, 4.463219
27.05000, 5.067326
27.08000, 4.037861
27.11000, 2.063469
27.14000, 2.250914
27.17000, 2.732351
27.20000, 2.353743
27.23000, 2.693226
27.26000, 2.936235
27.29000, 3.043392
27.32000, 3.243889
27.35000, 3.525448
27.38000, 3.487183
27.41000, 3.772322
27.44000, 3.923395
27.47000, 3.267563
27.50000, 2.746002
27.53000, 2.692955
27.56000, 3.086256
27.59000, 3.537415
27.62000, 4.259121
27.65000, 4.691040
27.68000, 6.021662
27.71000, 7.090250
27.74000, 7.760206
27.77000, 8.264540
27.80000, 7.416342
27.83000, 5.660723
27.86000, 3.937180
27.89000, 5.006512
27.92000, 5.891129
27.95000, 5.585228
27.98000, 6.520309
28.01000, 7.520178
28.04000, 8.502068
28.07000, 10.92178
28.10000, 13.63890
28.13000, 17.60275
28.16000, 22.03403
28.19000, 25.49055
28.22000, 28.19720
28.25000, 29.91530
28.28000, 32.31253
28.31000, 34.60787
28.34000, 33.89710
28.37000, 32.01726
28.40000, 32.02978
28.43000, 31.37048
28.46000, 27.06865
28.49000, 22.93628
28.52000, 18.45190
28.55000, 15.83673
28.58000, 14.69246
28.61000, 14.20871
28.64000, 13.72141
28.67000, 12.01366
28.70000, 10.24294
28.73000, 8.563381
28.76000, 7.495934
28.79000, 6.204594
28.82000, 5.635096
28.85000, 4.599857
28.88000, 3.806953
28.91000, 3.797613
28.94000, 2.897734
28.97000, 1.693026
29.00000, 1.446733
29.03000, 1.351498
29.06000, 2.582092
29.09000, 4.842686
29.12000, 7.194420
29.15000, 8.623447
29.18000, 11.18418
29.21000, 11.95981
29.24000, 13.18392
29.27000, 14.67913
29.30000, 16.16301
29.33000, 16.97501
29.36000, 19.86977
29.39000, 22.32875
29.42000, 21.88568
29.45000, 21.30986
29.48000, 19.52686
29.51000, 17.22369
29.54000, 15.62677
29.57000, 14.45781
29.60000, 12.17352
29.63000, 10.19373
29.66000, 9.025730
29.69000, 6.806433
29.72000, 2.922911
29.75000, 1.329933
29.78000, 0.7420460
29.81000, 0.6938950
29.84000, 1.331884
29.87000, 0.4103870
29.90000, 0.8581370
29.93000, 0.2126030
29.96000, 1.405582
29.99000, 1.952276
30.02000, 3.108543
30.05000, 4.658434
30.08000, 5.715075
30.11000, 5.504471
30.14000, 6.601418
30.17000, 5.086935
30.20000, 6.889711
30.23000, 6.216415
30.26000, 4.874372
30.29000, 5.461571
30.32000, 6.529308
30.35000, 5.383484
30.38000, 4.708590
30.41000, 5.243443
30.44000, 4.046331
30.47000, 2.093763
