##NAMES=Karibibite
##RRUFFID=R060307
##IDEAL CHEMISTRY=Fe^3+^_3_(As^3+^O_2_)_4_(As^3+^_2_O_5_)(OH)
##LOCALITY=Urucum, Municipio de Galilea, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellowish-brown acicular crystals lining cavities
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060307
21.61000, 122.2034
21.64000, 107.5750
21.67000, 90.69727
21.70000, 75.22095
21.73000, 68.45532
21.76000, 63.93091
21.79000, 54.71777
21.82000, 48.71582
21.85000, 44.40454
21.88000, 49.46460
21.91000, 72.48486
21.94000, 95.04712
21.97000, 107.3501
22.00000, 118.0352
22.03000, 120.5212
22.06000, 129.4089
22.09000, 142.5381
22.12000, 155.6887
22.15000, 167.0608
22.18000, 169.8845
22.21000, 176.7102
22.24000, 190.7375
22.27000, 206.5767
22.30000, 225.5071
22.33000, 248.2202
22.36000, 278.8945
22.39000, 305.8713
22.42000, 341.4202
22.45000, 378.1912
22.48000, 410.8345
22.51000, 435.0198
22.54000, 452.2473
22.57000, 462.3816
22.60000, 476.1001
22.63000, 459.3450
22.66000, 446.8530
22.69000, 424.8433
22.72000, 386.7163
22.75000, 352.1719
22.78000, 314.7302
22.81000, 275.6816
22.84000, 235.1958
22.87000, 206.9229
22.90000, 185.9631
22.93000, 168.8452
22.96000, 168.3723
22.99000, 159.1919
23.02000, 162.0947
23.05000, 175.8306
23.08000, 179.5898
23.11000, 184.8525
23.14000, 211.7983
23.17000, 246.4680
23.20000, 283.7007
23.23000, 323.9800
23.26000, 347.7812
23.29000, 361.9688
23.32000, 373.3977
23.35000, 379.0752
23.38000, 388.9529
23.41000, 393.3511
23.44000, 393.7500
23.47000, 390.8020
23.50000, 376.1814
23.53000, 354.9099
23.56000, 329.4485
23.59000, 305.1108
23.62000, 277.9702
23.65000, 244.2158
23.68000, 212.7625
23.71000, 182.2212
23.74000, 152.8059
23.77000, 125.4062
23.80000, 99.43604
23.83000, 75.08325
23.86000, 53.80591
23.89000, 33.44922
