##NAMES=Schwertmannite
##RRUFFID=R220002
##IDEAL CHEMISTRY=Fe^3+^_16_O_16_(OH)_9.6_(S^6+^O_4_)_3.2_&#183;10H_2_O
##LOCALITY=A ditch in the Tinto river basin, SW Spain
##OWNER=Annika Parviainen
##SOURCE=Annika Parviainen
##DESCRIPTION=Sample LN-2 from Parviainen et al (2015). A crusty surface with a layered texture consisting of spherical aggregates exhibiting the three major phases schwertmannite, jarosite, and goethite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, sharp peak is quartz
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R220002
7.681800, 14.73737
7.690200, 9.490967
7.698500, 11.93799
7.706900, 8.986023
7.715200, 20.22339
7.723600, 15.54669
7.732000, 1.361084
7.740300, 17.01520
7.748700, 10.57941
7.757000, 22.16895
7.765400, 34.32849
7.773700, 16.84784
7.782100, 5.710632
7.790400, 31.03192
7.798800, 8.188171
7.807200, 18.49432
7.815500, 24.79242
7.823900, 16.37897
7.832200, 38.58960
7.840600, 4.960876
7.848900, 22.86743
7.857300, 28.76007
7.865600, 28.49719
7.874000, 25.30322
7.882400, 40.34613
7.890700, 32.12708
7.899100, 14.67505
7.907400, 6.362244
7.915800, 13.22449
7.924100, 10.99670
7.932500, 21.31744
7.940900, 20.22424
7.949200, 37.18036
7.957600, 13.79852
7.965900, 20.26648
7.974300, 8.736511
7.982600, 40.40430
7.991000, 10.43341
7.999300, 11.46588
8.007700, 19.31091
8.016100, 0.9542850
8.024400, 20.44855
8.032800, 20.52942
8.041100, 36.78601
8.049500, 6.367249
8.057800, 7.653625
8.066200, 10.23755
8.074500, 13.12640
8.082900, 19.97882
8.091300, 35.55170
8.099600, 10.02740
8.108000, 21.50836
8.116300, 9.541809
8.124700, 8.046997
8.133000, 39.48511
8.141400, 28.40326
8.149800, 16.24304
8.158100, 19.95044
8.166500, 22.09430
8.174800, 4.672913
8.183200, 24.26801
8.191500, 25.03864
8.199900, 15.19183
8.208200, 3.931274
8.216600, 23.34949
8.225000, 17.76587
8.233300, 3.119385
8.241700, 17.97897
8.250000, 10.06955
8.258400, 12.57761
8.266700, 1.145264
8.275100, 10.46210
8.283400, 6.382782
8.291800, 17.64386
8.300200, 6.043365
8.308500, 20.38657
8.316900, 9.676575
8.325200, 13.73471
8.333600, 5.762268
8.341900, 16.42618
8.350300, 7.132263
8.358700, 11.21497
8.367000, 4.026306
8.375400, 19.08594
8.383700, 3.226990
8.392100, 1.663727
8.400400, 18.13782
8.408800, 25.07925
8.417100, 26.42960
8.425500, 25.21790
8.433900, 18.99625
8.442200, 6.203125
8.450600, 6.996704
8.458900, 20.67639
8.467300, 23.73721
8.475600, 4.917358
8.484000, 9.651001
8.492300, 2.848389
8.500700, 7.608521
8.509100, 41.68933
8.517400, 6.781555
8.525800, 4.439697
8.534100, 25.31378
8.542500, 17.16119
8.550800, 3.357574
8.559200, 18.06262
8.567600, 29.23676
8.575900, 12.34970
8.584300, 11.85199
8.592600, 18.45126
8.601000, 2.683716
8.609300, 1.542358
